ip,malicious,suspicious,harmless
8.42.77.171,0,0,59
80.211.246.121,0,0,0
37.49.231.178,0,0,0
138.68.3.71,0,0,0
184.105.139.67,14,0,49
92.63.194.33,0,1,57
185.244.25.167,0,0,0
1.169.38.217,0,0,0
5.101.40.81,0,0,58
5.141.67.237,0,0,0
5.188.206.22,2,1,55
31.163.158.140,0,0,0
31.192.108.68,0,0,61
37.49.231.125,0,0,0
43.227.231.129,0,0,0
45.62.211.169,0,0,0
46.100.43.82,0,0,0
58.218.213.6,0,0,0
58.48.32.199,0,0,59
59.47.71.13,0,0,0
61.176.222.167,0,0,0
61.219.11.151,1,1,58
66.240.236.119,14,1,48
71.6.232.4,2,1,57
71.6.199.23,15,1,48
78.128.112.98,1,1,59
80.211.172.233,0,0,0
80.82.77.33,13,1,49
82.202.209.155,0,0,50
88.202.190.148,1,2,58
88.214.26.54,6,0,53
89.248.168.51,2,1,55
91.245.36.26,0,0,52
92.53.76.213,0,0,0
185.244.25.145,13,0,49
